Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,SEA,Batting 1st,2004,173,137.6,162,781,717,105,264,23,5,9,64,33,12,52,70,.368,.412,.452,.864,324,6,5,2,5,19,14,.397,139,129
2,,NYY,Batting 1st,2003,165,134.4,163,784,725,122,214,41,6,40,97,32,8,45,133,.295,.345,.534,.879,387,10,11,2,1,6,8,.315,115,137
3,,CLE,Batting 1st,2004,178,128.0,162,786,698,121,207,40,3,28,89,19,8,77,100,.297,.373,.483,.856,337,13,9,0,2,2,11,.313,115,125
4,,OAK,Batting 1st,2004,175,124.5,162,787,712,100,221,45,3,19,70,12,5,60,95,.310,.366,.462,.828,329,6,5,5,5,4,4,.335,113,118
5,,BOS,Batting 1st,2004,184,124.2,162,798,710,135,209,40,7,20,97,20,10,84,91,.294,.370,.455,.825,323,7,2,0,2,1,8,.314,99,117
6,,TEX,Batting 1st,2004,177,123.3,162,765,700,114,211,43,7,23,87,18,4,56,94,.301,.354,.481,.836,337,8,4,0,5,2,4,.320,113,119
7,,SFG,Batting 1st,2004,199,123.1,162,791,684,134,189,39,11,26,96,12,7,85,103,.276,.359,.480,.839,328,8,8,6,8,4,6,.290,110,120
8,,MIN,Batting 1st,2003,183,121.8,162,777,719,113,224,54,5,18,91,11,5,41,124,.312,.351,.476,.827,342,8,7,3,7,0,8,.353,113,125
9,,BOS,Batting 1st,2005,185,121.4,162,785,712,130,222,42,7,12,85,18,1,59,88,.312,.363,.441,.804,314,7,4,0,10,3,13,.338,99,115
10,,BAL,Batting 1st,2005,170,121.2,162,756,670,109,202,45,8,18,77,28,12,73,100,.301,.371,.473,.844,317,8,3,6,4,5,5,.331,122,125
11,,NYY,Batting 1st,2005,174,117.7,162,788,691,125,209,27,5,19,69,16,5,76,122,.302,.379,.438,.817,303,17,11,7,3,3,13,.344,104,119
12,,ATL,Batting 1st,2003,180,116.5,162,779,708,136,206,35,11,16,65,25,2,60,83,.291,.348,.439,.787,311,4,4,3,4,2,6,.310,92,115
13,,SEA,Batting 1st,2003,177,115.7,162,764,715,114,224,30,8,14,67,36,8,38,77,.313,.353,.436,.790,312,3,7,3,1,7,12,.336,109,115
14,,PIT,Batting 1st,2005,181,113.5,162,757,662,99,195,44,5,16,69,18,12,68,82,.295,.368,.449,.817,297,8,14,5,8,0,13,.313,127,118
15,,FLA,Batting 1st,2004,163,112.8,162,751,683,100,230,22,13,5,52,39,21,45,32,.337,.383,.429,.812,293,8,7,14,2,1,13,.347,122,115
16,,KCR,Batting 1st,2003,174,112.3,162,761,686,124,197,37,6,26,88,18,10,49,122,.287,.344,.472,.816,324,9,13,7,6,1,7,.314,113,122
17,,HOU,Batting 1st,2004,250,111.9,162,766,690,110,195,55,0,23,69,7,2,48,100,.283,.342,.462,.804,319,9,16,9,3,0,7,.302,106,111
18,,ATL,Batting 1st,2005,190,111.3,162,757,679,113,200,37,11,13,68,46,11,67,93,.295,.356,.439,.795,298,12,1,5,5,3,11,.324,108,112
19,,CHC,Batting 1st,2004,188,110.7,162,765,692,104,186,38,5,29,82,21,8,59,136,.269,.329,.464,.793,321,2,6,2,6,6,5,.295,102,108
20,,SFG,Batting 1st,2005,185,110.7,162,746,674,94,200,48,5,19,68,27,13,53,97,.297,.351,.467,.818,315,9,4,13,2,1,4,.323,128,118
21,,MON,Batting 1st,2004,175,110.3,162,753,654,113,169,37,3,29,63,17,7,87,142,.258,.348,.457,.806,299,5,5,4,3,7,4,.288,128,111
22,,MIL,Batting 1st,2003,174,109.9,162,771,686,117,198,36,5,17,63,53,14,70,95,.289,.356,.430,.786,295,14,5,5,5,5,9,.313,111,115
23,,PHI,Batting 1st,2004,176,109.8,162,789,716,118,197,41,13,15,81,25,8,63,103,.275,.339,.432,.771,309,5,7,2,1,3,12,.304,96,103
24,,TBD,Batting 1st,2004,165,109.6,161,745,691,116,206,29,20,11,59,60,15,43,89,.298,.338,.446,.784,308,6,2,3,6,2,13,.327,116,106
25,,TOR,Batting 1st,2003,180,109.5,162,787,699,128,201,38,4,19,84,6,5,54,96,.288,.350,.435,.785,304,11,20,2,12,4,10,.305,96,114
26,,PHI,Batting 1st,2005,181,109.2,162,771,713,121,208,40,13,12,63,40,6,49,78,.292,.339,.435,.774,310,11,4,2,3,8,3,.313,100,106
27,,SEA,Batting 1st,2005,165,108.1,162,744,684,112,207,22,12,15,68,33,8,48,66,.303,.349,.436,.785,298,5,4,2,6,23,6,.315,122,109
28,,MIN,Batting 1st,2004,175,107.6,162,766,682,92,200,30,4,17,73,12,5,73,83,.293,.362,.424,.786,289,12,3,4,4,4,8,.312,107,108
29,,TBD,Batting 1st,2005,174,105.6,162,752,687,99,197,34,13,14,75,44,13,48,108,.287,.337,.435,.773,299,6,7,5,5,2,4,.321,105,106
30,,PIT,Batting 1st,2003,181,105.5,162,769,693,112,198,36,9,11,53,28,11,58,62,.286,.349,.411,.760,285,3,11,4,3,2,17,.300,101,108
31,,PHI,Batting 1st,2003,168,104.7,162,772,707,119,206,37,8,13,73,22,6,55,111,.291,.345,.421,.767,298,12,4,4,2,3,8,.330,101,109
32,,TEX,Batting 1st,2005,180,104.5,162,769,683,122,166,28,6,37,82,11,3,76,171,.243,.321,.464,.785,317,12,5,0,5,0,7,.269,97,108
33,,SFG,Batting 1st,2003,196,104.4,161,761,673,98,191,40,8,16,54,13,15,73,117,.284,.355,.438,.793,295,10,4,6,5,2,13,.321,108,116
34,,NYY,Batting 1st,2004,181,103.7,162,779,691,123,191,41,8,20,77,9,11,72,96,.276,.347,.446,.792,308,18,5,6,5,2,13,.295,96,108
35,,STL,Batting 1st,2005,195,103.3,162,769,677,103,200,28,8,10,69,13,8,66,50,.295,.368,.405,.773,274,14,14,8,4,0,7,.306,104,107
36,,HOU,Batting 1st,2003,188,102.8,162,777,682,108,177,47,3,17,68,8,4,61,128,.260,.342,.412,.754,281,4,27,3,4,3,15,.296,97,106
37,,MIL,Batting 1st,2005,170,101.0,162,755,672,104,200,31,1,17,63,11,14,54,73,.298,.364,.423,.787,284,15,18,8,3,1,4,.313,110,111
38,,CHW,Batting 1st,2004,178,100.9,162,755,664,105,185,33,3,17,73,23,11,70,132,.279,.349,.414,.764,275,7,5,10,5,0,5,.323,95,101
39,,CIN,Batting 1st,2005,169,99.6,163,769,677,115,184,31,5,13,50,44,13,76,115,.272,.352,.390,.742,264,11,9,3,3,0,5,.310,91,99
40,,SDP,Batting 1st,2005,192,98.8,162,769,673,97,182,30,12,17,70,29,16,72,96,.270,.341,.426,.767,287,12,3,15,6,3,7,.292,111,105
41,,CHC,Batting 1st,2003,193,98.4,162,758,687,110,204,41,4,9,48,26,10,48,102,.297,.348,.408,.756,280,14,9,9,5,3,10,.336,106,107
42,,LAD,Batting 1st,2004,175,98.2,162,763,691,103,191,28,13,9,67,48,7,59,84,.276,.335,.394,.728,272,11,4,4,5,2,11,.302,94,92
43,,BAL,Batting 1st,2004,173,97.6,162,785,690,116,190,54,3,6,59,28,13,70,104,.275,.341,.388,.730,268,4,2,15,6,1,12,.314,89,93
44,,TOR,Batting 1st,2004,181,97.6,161,753,687,89,193,30,4,19,75,6,4,51,110,.281,.335,.419,.754,288,10,7,4,4,1,11,.310,106,98
45,,CLE,Batting 1st,2005,166,97.3,162,766,693,114,186,38,10,20,74,22,11,58,131,.268,.331,.439,.770,304,19,8,5,2,2,12,.305,96,105
46,,KCR,Batting 1st,2005,183,96.9,162,745,669,106,186,39,5,16,57,7,6,51,108,.278,.336,.423,.760,283,9,11,8,6,1,5,.309,112,102
47,,BOS,Batting 1st,2003,170,96.3,162,799,708,110,184,36,5,14,69,27,7,74,94,.260,.329,.384,.713,272,7,2,9,6,3,9,.281,70,95
48,,SDP,Batting 1st,2004,182,96.0,162,772,716,106,206,35,6,10,77,11,5,38,76,.288,.334,.395,.729,283,8,13,2,3,3,13,.310,93,92
49,,PIT,Batting 1st,2004,172,95.8,161,748,671,87,202,36,3,4,51,12,8,54,57,.301,.364,.382,.745,256,11,15,3,5,0,7,.322,109,98
50,,ARI,Batting 1st,2005,185,95.7,162,773,675,95,179,39,5,9,48,26,8,82,81,.265,.351,.378,.728,255,11,9,3,4,4,10,.289,96,96
51,,TEX,Batting 1st,2003,168,95.5,162,766,701,114,192,36,4,17,75,15,1,50,114,.274,.324,.409,.733,287,13,5,3,7,1,9,.303,88,100
52,,TOR,Batting 1st,2005,194,95.4,162,768,682,103,183,43,7,10,78,11,6,64,101,.268,.340,.396,.736,270,10,13,3,6,1,7,.300,100,97
53,,LAA,Batting 1st,2005,167,95.0,162,757,683,113,193,29,9,8,58,51,16,62,99,.283,.341,.387,.728,264,9,0,9,2,1,9,.320,100,95
54,,ANA,Batting 1st,2004,178,94.9,162,771,690,112,201,31,8,4,53,23,7,51,75,.291,.350,.377,.726,260,11,12,16,2,1,8,.321,91,93
55,,BAL,Batting 1st,2003,172,94.9,163,765,669,94,183,35,6,9,66,38,12,75,83,.274,.351,.384,.736,257,15,7,11,3,1,5,.300,104,102
56,,WSN,Batting 1st,2005,173,94.2,162,750,639,87,159,47,7,12,66,8,11,92,150,.249,.349,.401,.750,256,5,9,5,5,8,5,.305,112,101
57,,CLE,Batting 1st,2003,170,94.1,162,755,693,100,196,40,5,13,55,18,12,48,91,.283,.331,.411,.742,285,9,4,6,4,1,5,.309,107,102
58,,OAK,Batting 1st,2005,173,94.1,162,761,680,99,197,33,4,9,68,6,6,60,58,.290,.357,.390,.746,265,18,14,1,6,4,8,.304,104,100
59,,DET,Batting 1st,2005,174,93.4,162,754,673,98,191,26,7,11,64,7,7,64,121,.284,.349,.392,.742,264,13,7,4,6,1,7,.329,100,99
60,,FLA,Batting 1st,2003,164,92.8,162,754,673,97,199,26,8,1,41,60,21,58,39,.296,.355,.363,.718,244,9,6,13,3,1,12,.311,93,98
61,,STL,Batting 1st,2004,213,92.6,162,764,700,106,205,32,3,7,45,27,7,44,87,.293,.335,.377,.712,264,9,4,8,8,1,9,.322,79,88
62,,ARI,Batting 1st,2003,180,92.3,162,767,691,114,184,33,8,12,58,24,7,60,91,.266,.328,.389,.717,269,10,6,5,5,0,6,.290,93,96
63,,CHW,Batting 1st,2003,178,90.6,162,749,659,102,172,34,9,11,51,21,5,73,101,.261,.333,.390,.723,257,11,1,10,6,2,9,.291,88,98
64,,ATL,Batting 1st,2004,179,89.4,162,772,697,117,181,29,7,15,69,29,10,63,101,.260,.320,.386,.706,269,9,1,6,5,4,11,.283,82,86
65,,CIN,Batting 1st,2003,187,88.7,162,762,674,104,175,31,5,14,54,19,13,70,126,.260,.337,.383,.720,258,11,10,6,2,1,5,.300,103,97
66,,OAK,Batting 1st,2003,188,88.6,162,763,683,102,167,42,4,20,80,10,2,58,119,.245,.308,.406,.713,277,10,8,5,8,2,7,.266,92,94
67,,CIN,Batting 1st,2004,190,87.4,162,767,652,96,162,28,6,7,41,33,11,93,126,.248,.353,.342,.695,223,11,13,7,2,0,5,.298,89,85
