Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,ATL,Batting 2nd,2003,176,137.6,162,766,674,118,211,56,2,25,74,14,4,65,92,.313,.383,.513,.896,346,9,14,9,4,0,8,.332,118,134
2,,TEX,Batting 2nd,2005,172,134.9,162,755,684,118,223,44,4,27,88,4,2,65,102,.326,.385,.520,.906,356,19,3,0,3,0,5,.351,128,145
3,,SDP,Batting 2nd,2004,182,123.4,162,754,664,115,215,45,2,16,74,5,3,62,53,.324,.381,.470,.851,312,11,9,4,15,3,12,.326,125,125
4,,TEX,Batting 2nd,2003,167,121.7,162,751,688,113,204,38,5,35,109,5,2,51,123,.297,.347,.519,.866,357,16,5,2,5,1,7,.316,120,125
5,,TEX,Batting 2nd,2004,173,121.3,162,750,674,122,191,36,4,36,110,5,2,67,147,.283,.349,.509,.858,343,11,4,0,5,5,7,.313,118,125
6,,HOU,Batting 2nd,2004,186,120.9,162,745,642,122,192,30,8,22,68,32,2,62,99,.299,.368,.474,.841,304,8,10,27,4,3,8,.324,116,123
7,,BAL,Batting 2nd,2004,179,120.2,162,764,676,130,206,35,4,21,98,20,6,63,126,.305,.370,.462,.832,312,10,10,10,5,0,8,.346,114,120
8,,CIN,Batting 2nd,2005,185,117.6,163,754,663,103,188,44,4,24,101,11,4,82,125,.284,.360,.471,.830,312,8,0,3,6,0,8,.315,112,126
9,,NYY,Batting 2nd,2003,172,116.5,163,765,653,115,192,39,0,18,84,13,3,91,122,.294,.388,.436,.825,285,16,12,5,4,1,4,.337,105,117
10,,DET,Batting 2nd,2004,180,113.5,162,750,663,107,192,42,9,19,75,10,4,72,112,.290,.363,.466,.829,309,15,6,7,2,0,8,.324,112,119
11,,PHI,Batting 2nd,2005,220,112.4,162,755,674,120,212,32,5,7,68,26,3,63,72,.315,.379,.408,.787,275,8,8,8,2,1,8,.343,105,116
12,,BOS,Batting 2nd,2003,183,112.0,162,784,707,118,212,51,4,16,96,5,3,62,70,.300,.355,.451,.806,319,20,4,1,10,0,11,.311,91,111
13,,CHW,Batting 2nd,2003,191,111.6,162,733,658,121,189,36,3,30,104,17,5,56,104,.287,.340,.488,.828,321,9,0,12,7,1,11,.299,112,115
14,,TOR,Batting 2nd,2003,186,111.0,162,763,692,113,205,50,5,17,82,5,3,55,101,.296,.353,.457,.810,316,16,9,2,5,0,9,.325,102,112
15,,LAD,Batting 2nd,2004,180,110.6,162,749,671,102,195,35,4,25,94,10,8,60,97,.291,.351,.466,.817,313,8,3,13,2,0,4,.309,116,116
16,,STL,Batting 2nd,2004,245,109.4,162,751,659,114,184,39,1,29,91,18,4,66,121,.279,.350,.473,.824,312,19,8,14,4,1,11,.302,105,117
17,,ARI,Batting 2nd,2003,190,109.2,162,753,672,102,190,33,6,25,93,7,4,62,103,.283,.346,.461,.808,310,10,5,11,3,0,3,.302,115,111
18,,PHI,Batting 2nd,2004,182,107.6,162,773,701,111,208,29,2,24,75,19,6,40,70,.297,.343,.447,.789,313,15,13,12,7,0,8,.300,100,109
19,,OAK,Batting 2nd,2003,178,107.1,162,741,655,94,182,36,4,26,85,3,0,64,90,.278,.349,.464,.813,304,16,10,6,5,1,6,.287,118,112
20,,NYY,Batting 2nd,2004,177,106.7,162,759,668,112,186,43,3,21,86,23,1,62,109,.278,.351,.446,.797,298,20,13,15,1,1,13,.306,97,111
21,,ATL,Batting 2nd,2005,189,106.2,162,734,654,116,187,46,5,17,68,16,2,64,138,.286,.354,.450,.803,294,15,6,7,3,3,6,.339,110,119
22,,TBD,Batting 2nd,2005,167,106.0,162,729,663,110,201,37,8,9,70,42,6,48,79,.303,.352,.424,.776,281,9,5,8,5,0,4,.331,107,112
23,,CLE,Batting 2nd,2004,182,105.9,162,770,673,115,204,34,4,12,73,22,9,67,74,.303,.364,.419,.783,282,13,1,22,7,0,11,.323,98,108
24,,KCR,Batting 2nd,2004,176,105.2,162,736,652,111,181,36,5,22,101,23,7,65,113,.278,.345,.449,.795,293,10,7,3,9,7,8,.302,120,110
25,,KCR,Batting 2nd,2003,190,105.1,162,743,661,115,188,40,8,18,83,14,1,49,87,.284,.340,.451,.791,298,12,11,14,8,0,12,.301,107,106
26,,MIL,Batting 2nd,2003,188,105.1,162,750,665,105,188,35,9,18,71,23,9,55,111,.283,.351,.444,.794,295,14,17,9,4,0,10,.315,113,108
27,,STL,Batting 2nd,2003,278,104.2,162,770,694,119,185,32,6,29,86,7,4,65,142,.267,.329,.455,.784,316,13,2,4,5,1,3,.295,94,104
28,,BOS,Batting 2nd,2004,182,102.9,162,781,680,119,173,44,1,22,105,3,2,89,188,.254,.346,.419,.765,285,12,8,1,3,0,6,.319,85,103
29,,PIT,Batting 2nd,2003,178,102.4,162,754,677,99,201,30,8,13,81,8,4,48,84,.297,.355,.422,.778,286,13,14,14,1,1,8,.324,106,104
30,,BOS,Batting 2nd,2005,182,102.2,162,768,678,120,192,40,3,16,98,7,4,72,115,.283,.352,.422,.774,286,16,4,6,8,1,8,.317,92,111
31,,ANA,Batting 2nd,2003,182,101.4,162,728,645,111,188,22,3,17,77,30,6,61,90,.291,.357,.414,.771,267,11,8,9,5,1,6,.315,108,103
32,,CLE,Batting 2nd,2005,169,100.9,162,744,682,93,194,48,4,19,80,14,5,43,100,.284,.326,.450,.776,307,9,1,13,5,0,7,.308,97,110
33,,HOU,Batting 2nd,2005,230,100.4,163,731,658,95,176,49,4,22,74,16,2,40,94,.267,.324,.454,.778,299,8,16,14,3,0,10,.283,112,111
34,,SDP,Batting 2nd,2003,213,100.0,162,743,664,89,193,38,4,11,54,8,4,68,97,.291,.359,.410,.769,272,12,4,5,2,0,4,.326,114,102
35,,CHC,Batting 2nd,2003,199,99.3,162,741,666,95,195,51,3,13,72,7,5,44,123,.293,.342,.437,.779,291,13,9,16,6,0,16,.340,111,104
36,,FLA,Batting 2nd,2003,185,99.1,162,739,650,104,205,22,6,5,43,27,19,64,74,.315,.379,.391,.770,254,7,4,19,2,0,9,.349,107,104
37,,OAK,Batting 2nd,2004,198,99.1,162,769,674,104,176,49,3,16,66,9,3,81,124,.261,.345,.414,.759,279,15,7,3,4,1,6,.297,96,101
38,,TBD,Batting 2nd,2003,181,97.9,162,739,666,94,186,31,6,19,76,24,7,48,135,.279,.331,.429,.760,286,9,7,11,7,2,3,.322,110,99
39,,SEA,Batting 2nd,2004,170,96.8,162,765,684,81,192,36,6,16,96,26,4,54,103,.281,.336,.421,.757,288,22,6,14,7,1,10,.308,108,100
40,,COL,Batting 2nd,2005,181,95.8,162,744,676,101,206,40,3,12,80,9,8,35,102,.305,.344,.426,.770,288,16,8,21,4,0,5,.343,107,110
41,,COL,Batting 2nd,2003,226,95.6,162,745,676,119,185,33,7,17,67,9,2,54,126,.274,.331,.419,.750,283,11,5,8,2,0,8,.314,90,96
42,,PHI,Batting 2nd,2003,177,95.0,162,751,675,122,184,41,7,17,86,13,4,55,77,.273,.332,.430,.762,290,20,8,8,5,0,5,.285,99,99
43,,SFG,Batting 2nd,2003,185,94.0,161,742,659,103,178,33,1,20,74,5,2,68,93,.270,.342,.414,.757,273,17,6,6,3,1,9,.288,99,98
44,,ATL,Batting 2nd,2004,201,93.0,162,761,687,97,189,39,6,12,78,16,5,40,132,.275,.323,.402,.724,276,7,12,14,8,1,5,.321,87,92
45,,CIN,Batting 2nd,2003,204,92.6,162,746,676,94,182,32,1,23,74,3,2,48,121,.269,.323,.422,.744,285,11,7,12,3,1,6,.297,108,95
46,,ARI,Batting 2nd,2005,206,92.4,162,751,672,102,171,40,4,25,81,12,2,58,130,.254,.318,.438,.755,294,19,6,12,3,2,5,.281,100,105
47,,PIT,Batting 2nd,2004,179,92.3,161,729,679,86,203,40,11,9,59,8,6,30,78,.299,.331,.430,.761,292,17,5,10,5,0,10,.325,110,101
48,,CHW,Batting 2nd,2005,184,91.8,162,736,652,92,180,27,7,18,80,20,6,53,136,.276,.335,.422,.757,275,19,8,15,7,1,5,.321,103,106
49,,STL,Batting 2nd,2005,223,91.5,162,754,676,107,179,38,3,19,81,9,4,58,142,.265,.332,.414,.747,280,20,12,5,3,1,8,.309,96,103
50,,NYY,Batting 2nd,2005,185,90.7,162,761,701,108,191,31,5,16,83,26,3,44,106,.272,.317,.399,.716,280,15,4,7,5,0,11,.300,78,95
51,,COL,Batting 2nd,2004,181,90.4,162,759,674,109,189,41,5,11,64,10,5,52,141,.280,.335,.405,.740,273,17,4,27,2,0,6,.340,86,96
52,,FLA,Batting 2nd,2005,186,90.2,162,743,640,99,182,28,5,6,56,14,6,76,64,.284,.362,.372,.734,238,15,4,19,4,0,10,.307,98,102
53,,MON,Batting 2nd,2004,180,89.5,162,736,648,89,177,29,7,11,49,34,8,66,61,.273,.342,.390,.732,253,17,3,16,3,2,11,.287,109,95
54,,CHW,Batting 2nd,2004,177,89.3,162,744,684,110,179,36,5,26,94,14,5,38,141,.262,.303,.443,.746,303,15,4,15,3,0,14,.294,88,96
55,,CLE,Batting 2nd,2003,177,89.2,162,741,658,112,171,35,3,22,79,16,9,61,82,.260,.325,.422,.747,278,16,5,11,6,2,16,.266,108,95
56,,HOU,Batting 2nd,2003,204,89.1,162,760,699,103,185,24,3,25,78,5,2,48,91,.265,.316,.415,.731,290,18,5,6,2,0,4,.274,90,91
57,,TBD,Batting 2nd,2004,177,89.0,161,726,653,95,168,39,7,17,87,12,4,50,144,.257,.315,.417,.731,272,7,8,8,7,2,6,.303,101,93
58,,SFG,Batting 2nd,2004,196,88.9,162,779,674,106,171,30,3,15,82,7,3,77,113,.254,.332,.374,.706,252,10,5,17,6,1,3,.283,78,88
59,,BAL,Batting 2nd,2003,171,88.3,163,754,680,97,184,36,3,15,68,13,9,45,141,.271,.327,.399,.726,271,12,13,14,2,0,8,.321,100,90
60,,FLA,Batting 2nd,2004,181,87.9,162,736,636,101,179,20,7,4,56,30,8,82,79,.281,.366,.354,.720,225,18,5,9,4,2,13,.314,98,93
61,,CHC,Batting 2nd,2005,184,87.6,162,735,679,90,187,31,5,20,63,11,3,35,80,.275,.314,.424,.739,288,18,5,13,3,0,7,.287,93,100
62,,MON,Batting 2nd,2003,197,87.1,162,729,643,92,172,38,1,14,57,11,3,67,85,.267,.335,.395,.730,254,15,1,12,6,3,16,.287,101,92
