 Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,PHI,Batting 2nd,2006,179,146.7,162,778,693,133,230,40,9,25,93,14,6,57,107,.332,.396,.524,.920,363,10,18,8,2,0,6,.364,131,138
2,,TOR,Batting 2nd,2015,171,142.5,162,742,642,132,191,43,2,45,136,6,0,82,133,.298,.377,.581,.958,373,18,6,2,10,0,5,.308,138,152
3,,LAA,Batting 2nd,2014,179,141.8,162,744,640,119,183,43,9,38,118,17,3,82,190,.286,.371,.559,.931,358,6,11,1,10,6,9,.344,153,158
4,,NYY,Batting 2nd,2011,178,131.3,162,751,642,149,188,27,8,34,125,29,9,80,146,.293,.378,.519,.897,333,13,13,8,8,0,4,.328,127,151
5,,BOS,Batting 2nd,2008,169,130.2,162,762,675,128,216,57,4,18,95,18,2,62,69,.320,.377,.496,.874,335,16,7,7,11,0,12,.331,116,134
6,,PHI,Batting 2nd,2009,171,129.4,162,756,666,115,204,45,11,17,76,23,8,71,89,.306,.376,.483,.860,322,3,8,4,7,2,9,.330,121,127
7,,ATL,Batting 2nd,2007,200,128.4,162,759,683,121,225,47,3,16,71,16,5,69,112,.329,.392,.477,.869,326,16,1,6,0,0,11,.377,125,129
8,,LAD,Batting 2nd,2008,183,127.2,162,744,657,120,202,39,7,22,69,21,7,75,124,.307,.381,.489,.870,321,9,5,4,3,2,8,.350,137,134
9,,DET,Batting 2nd,2007,177,127.0,162,761,704,127,236,40,5,16,88,10,4,37,55,.335,.377,.474,.852,334,10,13,3,4,2,11,.345,113,123
10,,NYY,Batting 2nd,2009,199,126.7,162,772,677,128,192,49,4,28,104,11,0,87,118,.284,.365,.492,.856,333,12,1,4,3,1,7,.307,104,126
11,,STL,Batting 2nd,2007,235,123.6,162,742,663,118,205,49,2,24,96,7,2,62,123,.309,.372,.498,.870,330,15,7,5,5,0,4,.347,133,128
12,,STL,Batting 2nd,2008,210,122.6,162,750,677,128,213,37,3,26,99,7,5,60,126,.315,.371,.493,.864,334,15,3,6,4,0,6,.353,120,132
13,,NYY,Batting 2nd,2006,181,120.4,162,768,674,123,208,41,3,15,94,27,4,71,113,.309,.381,.445,.826,300,14,10,9,4,2,10,.351,102,115
14,,BOS,Batting 2nd,2011,177,118.7,162,767,665,107,197,45,2,19,92,26,6,86,82,.296,.371,.456,.827,303,14,0,5,11,4,3,.310,105,133
15,,BOS,Batting 2nd,2007,178,118.4,162,770,670,126,203,41,2,15,80,12,4,74,79,.303,.384,.437,.821,293,11,16,6,4,0,7,.324,105,117
16,,PHI,Batting 2nd,2007,178,117.8,162,772,689,122,202,40,6,19,70,36,5,57,100,.293,.358,.451,.810,311,12,15,7,4,1,11,.319,100,112
17,,LAA,Batting 2nd,2013,177,117.0,162,752,658,111,188,39,10,25,88,24,6,68,137,.286,.357,.489,.846,322,17,10,6,10,4,14,.322,127,134
18,,STL,Batting 2nd,2012,202,117.0,162,751,659,114,196,38,5,21,87,12,4,67,130,.297,.369,.466,.835,307,11,11,8,6,6,7,.340,120,134
19,,TOR,Batting 2nd,2006,202,117.0,162,743,658,102,204,46,5,19,99,7,5,63,80,.310,.372,.482,.853,317,19,8,3,11,0,3,.325,111,121
20,,LAD,Batting 2nd,2014,222,115.9,162,745,650,118,188,41,8,19,90,21,8,76,127,.289,.375,.465,.839,302,15,14,3,2,1,12,.334,127,135
21,,LAA,Batting 2nd,2007,174,115.2,162,746,676,113,224,42,3,7,88,28,10,52,78,.331,.378,.433,.812,293,10,5,3,10,0,9,.361,113,114
