Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,STL,Batting 3rd,2006,175,170.1,161,725,613,138,204,41,1,53,158,8,4,101,61,.333,.429,.662,1.091,406,22,6,0,5,30,5,.300,181,155
2,,BOS,Batting 3rd,2007,187,167.2,162,751,624,128,202,58,1,38,128,4,1,117,121,.324,.431,.603,1.034,376,16,5,0,5,13,1,.349,155,143
3,,STL,Batting 3rd,2008,190,165.9,162,741,615,113,207,52,0,40,126,8,3,111,78,.337,.437,.616,1.054,379,21,6,0,9,33,4,.330,167,154
4,,STL,Batting 3rd,2009,181,161.9,162,720,585,124,187,45,1,46,135,16,4,118,67,.320,.436,.636,1.072,372,23,9,0,8,44,6,.294,185,155
5,,CIN,Batting 3rd,2010,177,160.9,162,732,624,120,205,40,2,40,124,19,5,97,137,.329,.422,.591,1.013,369,14,7,0,4,7,5,.366,160,146
6,,DET,Batting 3rd,2013,205,157.6,162,747,635,115,207,29,1,46,150,3,0,100,115,.326,.420,.592,1.012,376,21,6,1,5,19,3,.336,158,152
7,,TOR,Batting 3rd,2011,180,155.4,162,727,577,112,171,27,2,44,111,9,5,139,124,.296,.435,.579,1.014,334,8,6,0,5,24,9,.307,177,151
8,,BOS,Batting 3rd,2006,188,155.3,162,753,615,124,171,33,2,55,142,1,1,125,125,.278,.404,.607,1.010,373,14,8,0,5,23,3,.264,155,136
9,,CHW,Batting 3rd,2006,198,151.5,162,732,616,136,185,32,2,44,123,6,0,102,159,.300,.403,.573,.976,353,7,8,0,6,11,5,.337,141,129
10,,HOU,Batting 3rd,2006,197,149.6,162,737,612,114,181,42,0,44,127,7,2,105,114,.296,.403,.580,.983,355,12,10,1,8,11,6,.297,163,131
11,,STL,Batting 3rd,2010,182,147.7,162,735,620,120,191,43,1,43,127,15,3,104,89,.308,.408,.589,.997,365,22,5,0,6,37,6,.300,169,141
12,,FLA,Batting 3rd,2009,178,146.9,162,741,641,115,215,43,2,27,121,27,9,79,115,.335,.413,.535,.948,343,11,11,2,8,14,6,.371,150,127
13,,MIL,Batting 3rd,2011,195,146.8,162,710,632,120,206,39,6,34,119,34,7,69,103,.326,.393,.568,.961,359,10,4,0,5,2,11,.344,155,137
14,,ATL,Batting 3rd,2008,198,146.4,162,741,631,111,216,43,2,23,98,7,2,102,94,.342,.431,.526,.957,332,17,1,1,6,17,3,.371,154,133
15,,ATL,Batting 3rd,2007,198,146.3,162,750,652,131,209,55,4,34,122,7,1,91,100,.321,.402,.574,.975,374,27,1,1,5,11,15,.335,151,129
16,,COL,Batting 3rd,2007,188,146.2,163,750,660,124,210,51,5,36,142,10,4,71,134,.318,.391,.574,.965,379,20,12,1,6,7,5,.351,142,126
17,,COL,Batting 3rd,2006,173,146.0,162,738,622,117,196,40,5,32,121,6,2,102,86,.315,.415,.550,.964,342,15,8,0,6,15,5,.322,149,128
18,,ARI,Batting 3rd,2015,182,145.2,162,733,600,106,185,42,2,33,115,23,5,121,155,.308,.421,.550,.971,330,17,2,0,9,27,7,.361,163,139
19,,MIL,Batting 3rd,2012,192,144.4,162,730,646,112,203,38,3,41,119,31,8,66,141,.314,.386,.573,.959,370,14,13,0,5,15,5,.345,150,134
