Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,BOS,Bat3-6non-P,2003,755,518.7,648,2936,2577,463,775,166,20,132,476,32,10,294,404,.301,.375,.534,.909,1377,63,30,2,33,45,19,.310,113,120
2,,BOS,Bat3-6non-P,2004,829,509.2,648,2931,2558,423,752,188,9,129,455,20,9,310,541,.294,.375,.526,.901,1345,61,37,0,26,34,20,.325,116,117
3,,BOS,Bat3-6non-P,2007,733,485.7,648,2898,2478,406,740,167,12,100,450,15,5,368,477,.299,.390,.497,.887,1231,78,22,0,30,44,24,.331,120,118
4,,BOS,Bat3-6non-P,2008,738,481.1,648,2898,2504,420,721,179,15,117,470,18,8,333,499,.288,.375,.512,.887,1281,75,32,2,27,40,23,.315,119,120
5,,BOS,Bat3-6non-P,2005,782,474.4,648,2877,2485,419,701,155,6,134,483,7,3,339,476,.282,.370,.511,.881,1270,70,24,0,29,23,29,.298,116,117
6,,BOS,Bat3-6non-P,2010,724,454.6,648,2847,2507,396,710,179,11,120,421,14,3,288,458,.283,.359,.507,.866,1271,71,24,1,27,34,23,.302,118,119
7,,BOS,Bat3-6non-P,2009,728,453.0,648,2847,2442,415,669,146,8,121,430,27,12,347,567,.274,.370,.489,.859,1194,58,36,1,21,22,27,.309,113,114
8,,BOS,Bat3-6non-P,2006,749,451.7,648,2895,2452,390,662,142,6,126,421,4,10,394,489,.270,.372,.487,.859,1194,65,20,1,28,48,25,.287,118,107
9,,BOS,Bat3-6non-P,2019,729,451.6,648,2930,2616,418,737,167,9,128,438,23,11,268,611,.282,.350,.499,.850,1306,69,19,5,20,19,32,.321,110,114
10,,BOS,Bat3-6non-P,2016,723,447.7,648,2855,2539,396,730,163,8,116,443,40,11,267,503,.288,.358,.495,.853,1257,71,25,1,22,24,22,.316,110,117
11,,BOS,Bat3-6non-P,2011,744,431.9,648,2885,2541,383,730,166,15,95,397,19,9,293,505,.287,.364,.477,.841,1211,86,26,4,21,41,27,.324,108,118
12,,BOS,Bat3-6non-P,2013,737,427.1,648,2877,2507,393,707,170,6,96,422,27,11,316,590,.282,.365,.469,.834,1177,80,25,4,25,41,19,.331,110,119
13,,BOS,Bat3-6non-P,2018,725,421.7,648,2836,2524,372,702,148,11,115,445,35,9,268,584,.278,.349,.482,.831,1217,72,19,0,25,22,34,.317,109,116
14,,BOS,Bat3-6non-P,2021,693,409.8,648,2754,2450,392,668,152,8,118,400,22,11,257,596,.273,.344,.486,.830,1190,56,22,0,23,17,28,.313,113,117
15,,BOS,Bat3-6non-P,2012,724,391.1,648,2781,2503,361,686,159,8,102,369,20,10,229,541,.274,.337,.466,.803,1167,57,21,0,28,21,21,.309,119,105
16,,BOS,Bat3-6non-P,2024,747,387.0,648,2799,2499,365,653,150,9,111,368,32,15,246,710,.261,.334,.462,.795,1154,50,34,1,17,22,13,.320,114,117
17,,BOS,Bat3-6non-P,2022,712,362.8,648,2776,2482,340,676,166,1,74,342,30,6,240,584,.272,.340,.429,.769,1066,70,27,1,25,13,18,.326,111,113
18,,BOS,Bat3-6non-P,2023,726,360.9,648,2771,2484,331,640,137,5,97,363,45,4,233,610,.258,.328,.434,.762,1078,55,34,1,17,6,16,.303,104,103
19,,BOS,Bat3-6non-P,2017,697,348.7,648,2856,2540,330,645,145,7,82,354,53,13,278,570,.254,.330,.413,.744,1050,68,20,0,18,35,30,.295,102,89
20,,BOS,Bat3-6non-P,2015,742,344.4,648,2808,2538,338,662,130,3,99,355,18,13,225,519,.261,.324,.431,.755,1095,72,21,3,21,22,31,.290,104,97
21,,BOS,Bat3-6non-P,2014,727,330.9,648,2801,2450,258,611,121,4,81,334,16,9,286,594,.249,.334,.401,.735,983,69,37,2,26,27,29,.294,114,99
22,,BOS,Bat3-6non-P,2025,632,317.5,564,2433,2182,302,560,129,2,82,321,51,13,205,577,.257,.327,.430,.757,939,34,30,1,15,9,12,.311,102,104
23,,BOS,Bat7-9non-P,2003,591,305.2,477,1988,1759,266,494,118,11,76,291,20,14,189,373,.281,.353,.490,.843,862,36,16,9,15,13,17,.315,98,141
24,,BOS,Bat1-2non-P,2018,349,275.6,324,1527,1334,269,400,102,11,54,190,56,11,168,251,.300,.380,.514,.894,686,19,11,2,12,9,14,.332,126,134
25,,BOS,Bat1-2non-P,2019,338,262.2,324,1558,1369,268,396,100,11,59,197,24,8,165,269,.289,.366,.508,.873,695,22,8,2,14,11,13,.319,117,118
26,,BOS,Bat7-9non-P,2004,611,259.8,477,1982,1751,266,477,100,8,51,254,22,8,176,359,.272,.342,.426,.768,746,43,22,9,24,4,24,.312,85,116
27,,BOS,Bat1-2non-P,2011,349,257.8,324,1549,1368,233,415,93,8,52,197,64,22,143,190,.303,.369,.497,.866,680,24,9,9,17,5,12,.318,114,140
28,,BOS,Bat7-9non-P,2013,548,250.1,476,1937,1736,222,451,113,13,51,246,23,1,162,477,.260,.326,.428,.754,743,31,16,6,17,7,15,.327,89,125
29,,BOS,Bat7-9non-P,2009,606,243.2,477,1943,1727,226,439,110,5,64,251,20,8,166,374,.254,.326,.435,.760,751,46,25,8,17,14,26,.287,88,115
30,,BOS,Bat7-9non-P,2016,575,239.4,476,1909,1713,241,446,101,11,47,219,18,4,166,437,.260,.329,.414,.743,710,30,14,6,10,10,16,.322,84,116
31,,BOS,Bat7-9non-P,2006,601,236.7,477,1961,1764,226,471,109,8,41,216,20,5,139,346,.267,.328,.408,.735,719,43,28,15,15,7,25,.309,87,105
32,,BOS,Bat7-9non-P,2011,562,235.4,477,1959,1780,257,454,92,12,56,247,18,8,142,400,.255,.313,.415,.728,738,25,15,9,12,6,15,.298,80,115
33,,BOS,Bat7-9non-P,2005,571,234.8,477,1949,1729,237,459,102,5,37,195,13,4,182,357,.265,.338,.394,.732,682,42,15,7,16,7,20,.312,82,109
34,,BOS,Bat1-2non-P,2016,354,229.5,324,1529,1393,240,421,79,6,45,174,25,9,123,202,.302,.359,.464,.823,647,36,4,1,8,0,16,.326,104,116
35,,BOS,Bat7-9non-P,2008,583,228.7,477,1940,1697,189,450,85,7,33,193,34,16,190,377,.265,.344,.382,.725,648,43,23,10,20,8,9,.319,82,107
